step,true_state,measurement,kf_estimate,P,K
441,-4.827833,-4.007144,-4.616459,0.325694,0.434259
442,-5.383385,-6.398343,-5.390257,0.325694,0.434259
443,-5.930047,-5.679838,-5.51601,0.325694,0.434259
444,-5.307574,-5.681125,-5.587713,0.325694,0.434259
445,-6.558424,-8.034125,-6.650088,0.325694,0.434259
446,-6.974942,-7.457949,-7.000909,0.325694,0.434259
447,-7.179136,-7.145724,-7.063796,0.325694,0.434259
448,-7.335009,-6.426255,-6.786938,0.325694,0.434259
449,-7.673018,-8.419807,-7.496026,0.325694,0.434259
450,-7.43358,-8.763485,-8.046431,0.325694,0.434259
451,-7.238734,-7.149921,-7.657114,0.325694,0.434259
452,-7.312456,-5.936968,-6.910126,0.325694,0.434259
453,-7.623559,-5.839289,-6.445106,0.325694,0.434259
454,-7.736275,-8.842204,-7.486066,0.325694,0.434259
455,-7.701315,-8.633371,-7.984293,0.325694,0.434259
456,-8.077193,-7.733352,-7.87532,0.325694,0.434259
457,-7.799402,-8.338215,-8.076336,0.325694,0.434259
458,-7.3057,-6.303269,-7.306366,0.325694,0.434259
459,-6.587549,-6.129063,-6.795112,0.325694,0.434259
460,-5.905834,-7.534654,-7.116265,0.325694,0.434259
461,-6.064788,-6.815636,-6.985714,0.325694,0.434259
462,-6.005175,-6.500064,-6.774817,0.325694,0.434259
463,-6.088254,-4.458242,-5.768824,0.325694,0.434259
464,-6.173114,-5.814759,-5.788772,0.325694,0.434259
465,-6.289248,-6.223679,-5.977634,0.325694,0.434259
466,-6.28624,-5.89798,-5.943043,0.325694,0.434259
467,-5.703586,-4.276901,-5.219507,0.325694,0.434259
468,-5.548776,-5.038214,-5.140779,0.325694,0.434259
469,-6.124208,-6.200312,-5.60089,0.325694,0.434259
470,-5.654064,-4.904113,-5.298309,0.325694,0.434259
471,-5.548259,-4.780619,-5.073497,0.325694,0.434259
472,-5.302875,-4.26338,-4.721697,0.325694,0.434259
473,-5.158196,-5.46624,-5.045021,0.325694,0.434259
474,-4.990275,-7.528244,-6.123382,0.325694,0.434259
475,-4.798832,-7.95845,-6.920276,0.325694,0.434259
476,-5.660564,-5.269321,-6.203335,0.325694,0.434259
477,-5.421799,-6.428492,-6.301111,0.325694,0.434259
