step,true_state,measurement
476,-5.660564,-5.269321
477,-5.421799,-6.428492
478,-5.77785,-4.590927
479,-6.019865,-4.077439
480,-6.020825,-5.667456
481,-5.212388,-5.098915
482,-5.71356,-5.808587
483,-5.731366,-6.913266
484,-5.859282,-6.502039
485,-5.397103,-5.367128
486,-5.538501,-5.630457
487,-5.42694,-4.892763
488,-5.926796,-6.828837
489,-5.374456,-5.73155
490,-6.082877,-5.698524
491,-5.851192,-7.17683
492,-5.736451,-5.099418
493,-5.549258,-5.001946
494,-6.251393,-5.964703
495,-6.402703,-6.820811
496,-5.967425,-4.686335
497,-5.07024,-3.931583
498,-5.125107,-4.819642
499,-4.741695,-4.636752
